img link,date,location,species,clicked By,scientific name,latitude,longitude
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/64923652_10216224562585792_8799538402023178240_o.jpg?_nc_cat=101&ccb=2&_nc_sid=825194&_nc_ohc=phxKdCxuNEwAX9-6qTe&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=5f5544c5b70caee6114fe1e382153dee&oe=6042AA76,18-Jun-19,"Palakkad, Kerala",Spialia galba / Indian Skipper,"Rajib Dey, Avinash Sant",Spialia galba,10.7867,76.6548
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/76609894_844838922597977_7231385905984962560_o.jpg?_nc_cat=103&ccb=2&_nc_sid=825194&_nc_ohc=eyJ5xeeweiEAX9jhgxf&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=4cb4d28255db502b47e3e7f1fa2f0fdb&oe=60448332,12-Nov-19,"Tungareshwar WLS, Palghar District, Maharashtra.",Banana Skipper(Erionota torus),Gaurav Tanvi Tushar Khule,Erionota torus,19.403315,72.95787
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/67239254_10216460191516368_6530482191426650112_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=wwji1qYsR6oAX8eWwCp&_nc_ht=scontent.fbom5-1.fna&oh=14ba99ae24518ad0a3570e7ae4c10901&oe=6045315A,24-Jun-19,"Palakkad, Kerala",Indian grizzled skipper,Vasudeesha Hosabettu,Spialia galba,10.7867,76.6548
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/78839299_2497649473858168_5522378364041560064_o.jpg?_nc_cat=107&ccb=2&_nc_sid=825194&_nc_ohc=57bCuG2jM40AX9THHuC&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=1d68422dae37c00a2f736cb92e00b70e&oe=6044937E,08-Dec-19,"Harinavi, West Bengal",Erionota torus – Rounded Palm-redeye or Banana Skipper,Sarpita Bose,Erionota torus,22.4125,88.4186
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/68319758_10216660870093207_3050147853629390848_o.jpg?_nc_cat=102&ccb=2&_nc_sid=825194&_nc_ohc=GKjM_h_apxgAX_uCKcG&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=fd4be73e88c2eae311c1b4f055abbc6a&oe=6043E5D4,15-Aug-19,"Palakkad, Kerala",Skipper,Balachandran Puliyampotta,Spialia galba,10.7867,76.6548
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/49582350_2132675930133402_3174951374093811712_n.jpg?_nc_cat=101&ccb=2&_nc_sid=825194&_nc_ohc=Gljgx2GD0GEAX-lCeER&_nc_ht=scontent.fbom5-1.fna&oh=384ad8794d3563df0aac22f9b64b3170&oe=6044E6C9,04-Jan-19,"Dapoli, Maharashtra",Spialia galba galba – Indian Grizzled Skipper,Paresh Churi,Spialia galba,17.7677,73.191
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/61637697_2167909406640054_1762808582920732672_o.jpg?_nc_cat=108&ccb=2&_nc_sid=825194&_nc_ohc=1n6MdpGeEVoAX9ddhQ1&_nc_ht=scontent.fbom5-1.fna&oh=6ada6f4f7808268c5062dad3ca9395ee&oe=6042B62D,31-May-19,Jammu,Indian Skipper (Spialia galba),Shelly Jain,Spialia galba,32.7266,74.857
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/61059370_895069557497691_2670600562889719808_o.jpg?_nc_cat=105&ccb=2&_nc_sid=825194&_nc_ohc=Tes3FmLXqh4AX9fQ7aG&_nc_ht=scontent.fbom5-1.fna&oh=409d93e91e9d3efd6e290795204a21e7&oe=6046EDC4,26-May-19,"Nagaon, Assam","Common Bush Hopper, Male,  Ampittia dioscorides (Fabricius, 1793)",Mann Kumar Thapa,Ampittia dioscorides,26.348,92.6838
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/73346544_2565672106856705_436646776406016000_n.jpg?_nc_cat=102&ccb=2&_nc_sid=825194&_nc_ohc=ntoeoHMhet8AX__OS88&_nc_ht=scontent.fbom5-1.fna&oh=3d41ae41204e3830dd537a6ab9c79034&oe=60493D6D,13-Nov-19,"Amboli, Maharashtra",Rounded Palm-redeye,Hemant Ogale,Erionota torus,15.9647,74.0036
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/78191318_2811617775517568_8442409947215429632_o.jpg?_nc_cat=102&ccb=2&_nc_sid=825194&_nc_ohc=KQf3tjpztj0AX-rzFpO&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=8ad8997d0e7accc2144d72287fbb7f78&oe=60492321,03-Dec-19,Devrukh Maharashtra,Rounded palm-redeye or banana skipper (Erionota torus),Prateik More,Erionota torus,17.0686,73.6242
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/73475306_10206166742643598_7802316247944658944_n.jpg?_nc_cat=107&ccb=2&_nc_sid=825194&_nc_ohc=e164wLHAukAAX_jzO2N&_nc_ht=scontent.fbom5-1.fna&oh=182e12b1966b88074ab5cc2f9927d797&oe=6048C7D6,17-Oct-19,"Ahmednagar, Maharashtra","Gomalia elma (Trimen, 1862) – African Marbled Skipper",Pradeep Jaiswal,Gomalia elma,19.0948,74.748
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-0/p600x600/49864882_10156283456553198_1892143186508251136_n.jpg?_nc_cat=105&ccb=2&_nc_sid=b9115d&_nc_ohc=Sg0CDgSdtfgAX9YN-Yd&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=5f0c601a4d56ce7c560a187717b94c77&oe=60466698,16-Jan-19,"Lohegaon, Pune",Borbo cinnara,B Savit,Borbo cinnara,18.5945,73.9276
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/73381305_10215418385719497_3613401598677483520_n.jpg?_nc_cat=105&ccb=2&_nc_sid=b9115d&_nc_ohc=JXHz36MnWawAX8Rg79M&_nc_oc=AQlItXs9vzjRbUspIWF1lPoni58NpAZlO5mz3X5xlfUXU4dryU9vvzA52KmF1cbgt8k&_nc_ht=scontent.fbom5-1.fna&oh=b1e1573a51b1d4ae46648b7ac78fbf50&oe=60490834,07-Nov-19,"Khar West, Mumbai",Skipper,Raghavendra Rajadhyaksha,Spialia galba,19.07,72.8338
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/71770440_10217378842617140_4483300430813593600_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=dHvX7V9g0O4AX8NEzZZ&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=1cf3f8e7dc0281f564d57d0919d28200&oe=6049ECB1,28-Sep-19,"Gonikopalu, Karnataka",Grizzled Skipper,Gopakumar VR Namboothiri,Spialia galba,12.1843,75.9263
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/66866536_2390076277738606_1153584626082512896_n.jpg?_nc_cat=108&ccb=2&_nc_sid=825194&_nc_ohc=bWMPMKFX1CUAX8NvLzI&_nc_ht=scontent.fbom5-1.fna&oh=cd8bcffbb615c34516c5a352ee1d34d0&oe=6047F730,14-Jul-19,Bengaluru,Indian Grizzled Skipper,Nagraj Veeraswami,Spialia galba,12.9716,77.5946
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/68477398_2449894435090123_5449285133129482240_n.jpg?_nc_cat=104&ccb=2&_nc_sid=825194&_nc_ohc=xtoyJE62h44AX_Y88J_&_nc_ht=scontent.fbom5-1.fna&oh=5bfd0309d9873e661b30416a5efc45b2&oe=6046E51F,07-Jul-19,Bengaluru,Asian Grizzled Skipper,Nagraj Veeraswami,Gomalia elma albofasciata,12.9716,77.5946
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/67443944_2291633797539436_1175819710428610560_n.jpg?_nc_cat=110&ccb=2&_nc_sid=825194&_nc_ohc=ZEsUkJHffvAAX-piCGa&_nc_ht=scontent.fbom5-1.fna&oh=62dd74db485773cdf73b27bb327bfc04&oe=60484677,28-Jul-19,"JP Forest, Banglore, KA",Indian Grizzled Skipper,VC Balakrishnan,Spialia galba,12.9716,77.5946
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/56306720_840780269591407_1586895509979660288_n.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=CS7PbI9r9DoAX9c4bYB&_nc_ht=scontent.fbom5-1.fna&oh=bc5df91ae587e7fe0ae85252bff44725&oe=604961EF,31-Mar-19,"Nalabanta,Aska, Odisha",Indian skipper butterfly,Tara Mahapatra,Spialia galba,19.611598,84.664486
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/72952976_10157887987991934_5387989022033313792_n.jpg?_nc_cat=111&ccb=2&_nc_sid=825194&_nc_ohc=NYCJ9CebdNwAX_3nXKp&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=3ec5ab319b14819295eb25f4f7168fd8&oe=604A34DA,21-Oct-19,Bangalore,Banana skipper,Akhilesh Sharma,Erionota torus,12.9716,77.5946
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/71532193_2432400290208093_2918024665215533056_o.jpg?_nc_cat=105&ccb=2&_nc_sid=825194&_nc_ohc=Em0Ho6c3Pk4AX8V0vnZ&_nc_ht=scontent.fbom5-1.fna&oh=45cbe77f81cdc568a402c817def27acb&oe=6047262C,28-Sep-19,"Coimbatore, Tamilnadu","African marbled skipper, Gomalia elma",Hari,Gomalia elma,11.0168,76.9558
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/66581318_10219917573436334_2217925105973985280_o.jpg?_nc_cat=108&ccb=2&_nc_sid=825194&_nc_ohc=COjubJ_gyAEAX8OoegD&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=a4d6adec0941d34d2b5385ca216bf3e6&oe=6046A7FD,11-Jul-19,"Doresanipalya reserve forest, Bangalore",Indian Grizzled Skipper,Vikram Bellur,Spialia galba,12.8918,77.592
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/66172312_10216386594796496_8480815488941686784_o.jpg?_nc_cat=104&ccb=2&_nc_sid=825194&_nc_ohc=V1PL8VS-kN8AX87AjvJ&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=2e96c4bccbf65d3a79edcee9513f0328&oe=60496DD1,08-Jul-19,"Palakkad, Kerala",Skipper,Balachandran Puliyampotta,Spialia galba,10.7867,76.6548
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/61935031_2207245565997290_7888397764902518784_n.jpg?_nc_cat=108&ccb=2&_nc_sid=825194&_nc_ohc=1XmUPWy23OMAX_gvIkJ&_nc_ht=scontent.fbom5-1.fna&oh=1fd27376c20003ebf25be5a570807745&oe=6049043B,05-Jun-19,"Bokakhat, Assam",Indian Skipper,Sasanka Dhaval Saikia,Spialia galba,26.6215,93.6116
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/57172536_10161505443385527_1151098359709171712_n.jpg?_nc_cat=104&ccb=2&_nc_sid=825194&_nc_ohc=cjoPdu6x8fAAX8J3ASN&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=3b010fec1d9628fa98f81c2bbfa70a68&oe=6049B144,17-Nov-17,Goa University Campus,Grizzled skipper (Spialia galba),Saish Borkar,Spialia galba,15.4588,73.8342
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/65192530_2296117903799840_5625717424666968064_o.jpg?_nc_cat=109&ccb=2&_nc_sid=825194&_nc_ohc=dfBIHvXMS1IAX_cxNq5&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=133f327e8d483ae32d058c8b29f67f89&oe=604754AF,19-Jun-19,"md.bazar, birbhum, west Bengal",Indian grizzled skipper,Sarbajit Attmik Chatterjee,Spialia galba,23.9168,87.517
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/68919710_1829560777190835_4123906715764654080_o.jpg?_nc_cat=107&ccb=2&_nc_sid=825194&_nc_ohc=1BiQJaQ7BqkAX-ZVrv5&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=bfd36347eec5af469c134524a3b00f37&oe=6048CE76,18-Aug-19,"Wayanad, Boy's town",Skipper,Nishad Manathana,Spialia galba,11.8402,75.9187
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/67539749_2459773177639778_5000821102100873216_o.jpg?_nc_cat=106&ccb=2&_nc_sid=825194&_nc_ohc=DMaua68Xf8sAX-KnxpM&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=67623eaab918b2fe4a5ed8dbe6af42bd&oe=60496815,30-Jul-19,"Kadma, Bankura, West Bengal",Indian Skipper (Spialia galba),Aniruddha Singhamahapatra,Spialia galba,22.9888,87.0106
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/66423049_10206080024517097_1142227602975490048_o.jpg?_nc_cat=106&ccb=2&_nc_sid=825194&_nc_ohc=sLWC1IsvKKsAX8s8YMR&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=78ef4d183d4b044c4a164a488c10cb25&oe=6046AA7F,06-Jul-19,"Savandurga,Bangalore",African Marbled skipper,Harisha Achar,Gomalia elma,12.919654,77.292881
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-0/p600x600/72109608_10156868494808198_7472985517261324288_o.jpg?_nc_cat=108&ccb=2&_nc_sid=b9115d&_nc_ohc=edPTpRl-9doAX_8JNFB&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=3270d6d2f46e96091b4b7282b134064a&oe=6048E446,30-Sep-19,"Lohegaon, Pune",Pelopidas sp. P. Mathias,B Savit,Pelopidas P. mathias,18.5945,73.9276
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/52642863_354519525148831_4744345536587366400_o.jpg?_nc_cat=103&ccb=2&_nc_sid=825194&_nc_ohc=dxM5Jnc-dqIAX9bcxy8&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=bf910eee9b98ab7d73218d626bed94a8&oe=604749C5,15-Feb-19,Jharkhand,skipper,Tanya Vinit Mishra,Spialia galba,23.6102,85.2799
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/53777522_10157104648747290_7516407482005061632_n.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=wdDPYFv7U58AX_vL7hR&_nc_ht=scontent.fbom5-1.fna&oh=e695abfd8bea84b6c50d16e48146499c&oe=6048B324,11-Mar-19,"Lalitha Mahal Palace area, Mysore",ASIAN MARBLED SKIPPER ( Gomalia elma albofasciata ),Arun Urs,Gomalia elma albofasciata,12.2983,76.6926
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/51644393_2607237229302710_8528097452463489024_o.jpg?_nc_cat=111&ccb=2&_nc_sid=825194&_nc_ohc=qQ0ZRXDHUbcAX_cjTl0&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=a102b661a8af018f40777a0451652b17&oe=604A3DA7,31-Jan-19,South Goa,Pygmy Scrub Hopper( Aeromachus pygmaeus),John Mann,Aeromachus pygmaeus,15.1177,74.124
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/58775414_1236525269845166_1338486386969280512_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=pcgUyCuOOmEAX9H_n_0&_nc_ht=scontent.fbom5-1.fna&oh=faba9d2673b3f7bfc4de366c131b2695&oe=604650FD,28-Apr-19,"Barpeta, Assam","Erionota thrax Linnaeus, 1767 – Palm Redeye( Banana Skipper)",David Das,Erionota thrax,26.3216,90.9821
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/66879613_10206405132523128_2324985270430072832_o.jpg?_nc_cat=110&ccb=2&_nc_sid=825194&_nc_ohc=kUgDgpT1i4EAX8mq9aO&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=1c62a6cc80ee88e303470829771e6423&oe=604A1188,14-Jul-19,"BNHS Butterfly Garden, At Cec Bnhs, Goregaon, Mumbai",skipper,Raju Kasambe,Spialia galba,19.1632,72.8926
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/71741792_10219717186630795_8329949754737819648_n.jpg?_nc_cat=105&ccb=2&_nc_sid=825194&_nc_ohc=YEtVPRdLW9cAX-7zJmh&_nc_ht=scontent.fbom5-1.fna&oh=0c24b35a828cf9926bf0fbc1129d1573&oe=60475BB3,07-Oct-19,Tiruppur,Indian Grizzled Skipper,Darshan M. Trivedi,Spialia galba,11.1085,77.3411
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p843x403/67404456_2398787960240049_1905853486621261824_o.jpg?_nc_cat=101&ccb=2&_nc_sid=825194&_nc_ohc=J-eQ3-RoJtcAX9rBs5l&_nc_oc=AQnBqJP54baBM8hmsoA6lrueM4HOZzCz_Kc9UQ7lqRN55QnIYZ2rKp05T08HPpbkWIk&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=4da5d8a93a4c0a1e6baddd12952f5097&oe=60487199,21-Jul-19,"Triplicane, Chennai",African Marbled skipper,Supraja Narasimhan,Gomalia elma,13.0588,80.2756
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/71930193_10156870930288198_8409554581272395776_o.jpg?_nc_cat=103&ccb=2&_nc_sid=825194&_nc_ohc=r7tfUs0hc3QAX_b88XV&_nc_ht=scontent.fbom5-1.fna&oh=7539d1c46268a1dd3bb55de56e25a623&oe=60466BF3,02-Sep-19,"Lohegaon, Pune","Melanitis leda, Common evening brown",B Savit,Melanitis leda,18.5945,73.9276
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/71435387_2664880933524587_705301202723667968_o.jpg?_nc_cat=109&ccb=2&_nc_sid=825194&_nc_ohc=oV_RzL8Y9F8AX_sUXJJ&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=ede50dbe3c5dbc1ea3a16523ec22d148&oe=6047802C,26-Sep-19,Devrukh MH,Grass Demon (Udaspes folus),Prateik More,Udaspes folus,17.0686,73.6242
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/p960x960/77330652_1786776214788474_2973729381727338496_o.jpg?_nc_cat=100&ccb=2&_nc_sid=825194&_nc_ohc=t6NdY2rAsc0AX-c0nbv&_nc_ht=scontent.fbom5-1.fna&tp=6&oh=5ce7ad2c70f12414b3f1242b41ff5faa&oe=60469034,27-Nov-19,"Baripada, Odisha",Common red eye (Matapa aria),Bapu Behera,Matapa aria,21.932,86.7466
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/71037995_2038059616295296_7084451754779082752_o.jpg?_nc_cat=109&ccb=2&_nc_sid=825194&_nc_ohc=TLA_q6177vAAX-zWmpS&_nc_ht=scontent.fbom5-1.fna&oh=282f3ddf5ae05932c431c5bf12158c1f&oe=60468416,10-Sep-19,"Kolhapur, Maharashtra",Plum dart Skipper,Pranav Datar,Pelopidas subochracea,16.705,74.2433
https://scontent-bom1-2.xx.fbcdn.net/v/t1.0-9/75636030_1313003992213062_67252380332195840_n.jpg?_nc_cat=109&ccb=3&_nc_sid=825194&_nc_ohc=YHY3TXs3__cAX_tbQeC&_nc_ht=scontent-bom1-2.xx&oh=97cfcfb210408a95f8ad30ed38ab605a&oe=604C81B0,03-Nov-19,"Borsul East Bardhaman, Southern West Bengal, Eastern India",Common Pierrot,Purab Chowdhury,Castalius rosimon,23.232513,87.863419
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/74237035_1303195829860545_4751002800320675840_n.jpg?_nc_cat=104&ccb=3&_nc_sid=825194&_nc_ohc=t4sXY9vdIToAX_nVgzb&_nc_ht=scontent.fbom5-1.fna&oh=85fd96e00a25276aaf2ad6105462e8dc&oe=604988C2,20-Oct-19,"Jaguli Grassland Nadia, Southern West Bengal, Eastern India",Indian Grizzled Skipper,Debjit Mondal,Spialia galba,22.955,88.5375
https://scontent.fbom5-1.fna.fbcdn.net/v/t1.0-9/s1080x2048/66030344_1791747657638814_455431073573109760_o.jpg?_nc_cat=111&ccb=3&_nc_sid=825194&_nc_ohc=dJ1bnUFFLxoAX84yWRZ&_nc_ht=scontent.fbom5-1.fna&tp=7&oh=ebbea053b0145c22ff39c06a41df02a1&oe=6049F97B,07-Jul-19,"Kannur, Kottamchuram",Skipper,Nishad Manathana,Spialia galba,11.874477,75.370369
